stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6334,26334,TENBROOK DR & FOREST GLEN RD,,39.017341,-77.031373,,,,
6336,26336,TENBROOK DR & SIDNEY DR,,39.020664,-77.031004,,,,
6338,26338,TENBROOK DR & ROSWELL DR,,39.021778,-77.028862,,,,
6340,26340,TENBROOK DR & DENNIS AVE,,39.023419,-77.029067,,,,
6342,26342,TENBROOK DR & DRYDEN ST,,39.025414,-77.028297,,,,
6344,26344,TENBROOK DR & LAREDO RD,,39.026623,-77.027963,,,,
6346,26346,TENBROOK DR & HELENA DR,,39.028142,-77.027671,,,,
6348,26348,TENBROOK DR & WHITEHALL ST,,39.0294,-77.027443,,,,
6350,26350,TENBROOK DR & GREGORY ST,,39.030927,-77.028212,,,,
6352,26352,TENBROOK DR & GABEL ST,,39.032482,-77.028412,,,,
6354,26354,TENBROOK DR & GREGORY ST,,39.030614,-77.027877,,,,
6356,26356,TENBROOK DR & WHITEHALL ST,,39.029177,-77.027632,,,,
6358,26358,TENBROOK DR & HELENA DR,,39.028233,-77.027786,,,,
6360,26360,TENBROOK DR & LAREDO RD,,39.026445,-77.028108,,,,
6362,26362,TENBROOK DR & DRYDEN ST,,39.025532,-77.028379,,,,
6364,26364,TENBROOK DR & DENNIS AVE,,39.023895,-77.028999,,,,
6366,26366,TENBROOK DR & ROSWELL DR,,39.021617,-77.02912,,,,
6368,26368,TENBROOK DR & GODWIN DR,,39.019196,-77.03166,,,,
6370,26370,TERRACE DR & GRUBB RD,,38.996819,-77.058152,,,,
6372,26372,THAYER AVE & FENTON ST,,38.993018,-77.023834,,,,
6374,26374,THAYER AVE & GROVE ST,,38.993068,-77.021809,,,,
6376,26376,THAYER AVE & HOUSTON ST,,38.993138,-77.020215,,,,
6378,26378,THAYER AVE & @200,THAYER AVE & #200,38.993275,-77.017196,,,,
6380,26380,THAYER AVE & @631,,38.993553,-77.015495,,,,
6382,26382,THAYER AVE & NOLTE AVE,,38.993561,-77.013298,,,,
6384,26384,THAYER AVE & HARTFORD AVE,,38.993762,-77.011681,,,,
6386,26386,THAYER AVE & DALE DR,,38.994331,-77.009281,,,,
6388,26388,THAYER AVE & NOLTE AVE,,38.993658,-77.013407,,,,
6390,26390,THAYER AVE & @555,,38.993668,-77.016014,,,,
6392,26392,THAYER AVE & @575,,38.993384,-77.017167,,,,
6394,26394,THAYER AVE & HOUSTON ST,,38.993216,-77.020444,,,,
6396,26396,THAYER AVE & GROVE ST,,38.993179,-77.021824,,,,
6398,26398,THAYER AVE & FENTON ST,,38.993144,-77.023643,,,,
6400,26400,THREE OAKS DR & SLIGO CREEK PKWY,,39.004906,-77.014305,,,,
6402,26402,THREE OAKS DR & SLIGO CREEK PKWY,,39.004944,-77.014442,,,,
6404,26404,TRAVIS AVE & TRAVIS VIEW CT,,39.162556,-77.220182,,,,
6406,26406,TRAVIS AVE & TRAVIS LA,,39.162487,-77.217461,,,,
6410,26410,TRAVIS AVE & WATKINS MILL RD,,39.16223,-77.214879,,,,
6412,26412,TRAVIS AVE & TRAVIS LA,,39.16244,-77.2169,,,,
6414,26414,TRAVIS AVE & TRAVIS VIEW CT,,39.162608,-77.220466,,,,
6418,26418,TUCKERMAN LA & FALLS RD,,39.050259,-77.187703,,,,
6420,26420,TUCKERMAN LA & JUDY PL,,39.048782,-77.184341,,,,
6422,26422,TUCKERMAN LA & TOULONE DR,,39.048026,-77.183324,,,,
6424,26424,TUCKERMAN LA & COLDSTREAM DR,,39.046783,-77.18206,,,,
6426,26426,TUCKERMAN LA & DURYEA DR,,39.04394,-77.179609,,,,
6428,26428,TUCKERMAN LA & WILLOWBROOK DR,,39.042378,-77.178137,,,,
6430,26430,TUCKERMAN LA & LONG PINE TR,,39.041367,-77.176323,,,,
6432,26432,TUCKERMAN LA & GAINSBOROUGH RD,,39.040981,-77.172417,,,,
6434,26434,TUCKERMAN LA & CANDLELIGHT LA,,39.041531,-77.168977,,,,
6436,26436,TUCKERMAN LA & GEORGETOWNE DR,,39.041382,-77.166702,,,,
6438,26438,TUCKERMAN LA & DEBORAH DR,,39.041356,-77.164777,,,,
6440,26440,TUCKERMAN LA & CEDAR RIDGE DR,,39.041134,-77.161781,,,,
6442,26442,CABIN JOHN MALL & BLANK,,39.04008,-77.157577,,,,
6444,26444,TUCKERMAN LA & @7400 (CABIN JOHN REGIONAL PARK),,39.036602,-77.151272,,,,
6446,26446,TUCKERMAN LA & LANCELOT DR,,39.037401,-77.141223,,,,
6448,26448,TUCKERMAN LA & WHISPERWOOD LA,,39.036976,-77.137535,,,,
6450,26450,TUCKERMAN LA & ARROYO DR,,39.036732,-77.134582,,,,
6452,26452,TUCKERMAN LA & MARCLIFF RD,,39.036181,-77.132191,,,,
6454,26454,TUCKERMAN LA & RALSTON RD,,39.035748,-77.130286,,,,
6456,26456,TUCKERMAN LA & ROSEMONT DR,,39.035075,-77.127188,,,,
6458,26458,TUCKERMAN LA & OLD GEORGETOWN RD,,39.034314,-77.124339,,,,
6460,26460,TUCKERMAN LA & GLOXINIA DR,,39.033186,-77.121521,,,,
6462,26462,TUCKERMAN LA & SUGARBUSH LA,,39.031915,-77.11815,,,,
6464,26464,TUCKERMAN LA & VALARIAN LA,,39.031094,-77.115945,,,,
6466,26466,TUCKERMAN LA & KINGS RIDING WAY,,39.029795,-77.112597,,,,
6468,26468,TUCKERMAN LA & GROSVENOR PL,,39.029216,-77.107679,,,,
6470,26470,TUCKERMAN LA & ROCKVILLE PIKE,,39.030713,-77.103967,,,,
6472,26472,TUCKERMAN LA & CLOISTER DR,,39.029932,-77.101137,,,,
6474,26474,TUCKERMAN LA & ROCKVILLE PIKE,,39.030913,-77.103903,,,,
6476,26476,TUCKERMAN LA & GROSVENOR PL,,39.029778,-77.107147,,,,
6478,26478,TUCKERMAN LA & KINGS RIDING WAY,,39.029881,-77.112425,,,,
6480,26480,TUCKERMAN LA & HAMPTON MILL TERR,,39.031122,-77.115762,,,,
6482,26482,TUCKERMAN LA & SUGARBUSH LA,,39.031887,-77.117775,,,,
6484,26484,TUCKERMAN LA & GLOXINIA DR,,39.033294,-77.12153,,,,
6488,26488,TUCKERMAN LA & ROSEMONT DR,,39.035206,-77.127243,,,,
6490,26490,TUCKERMAN LA & RALSTON RD,,39.03587,-77.130424,,,,
6492,26492,TUCKERMAN LA & MARCLIFF RD,,39.036246,-77.132141,,,,
6494,26494,TUCKERMAN LA & ARROYO DR,,39.036947,-77.135277,,,,
6496,26496,TUCKERMAN LA & WHISPERWOOD LA,,39.03715,-77.137124,,,,
6498,26498,TUCKERMAN LA & LANCELOT DR,,39.037501,-77.141317,,,,
6500,26500,TUCKERMAN LA & @7400 (CABIN JOHN REGIONAL PARK),,39.036656,-77.151055,,,,
6502,26502,CABIN JOHN MALL & BLANK,,39.039864,-77.156975,,,,
6504,26504,TUCKERMAN LA & CEDAR RIDGE DR,,39.041252,-77.161835,,,,
6506,26506,TUCKERMAN LA & DEBORAH DR,,39.041489,-77.164757,,,,
6508,26508,TUCKERMAN LA & GEORGETOWNE DR,,39.041528,-77.166601,,,,
6510,26510,TUCKERMAN LA & CANDLELIGHT LA,,39.041596,-77.168839,,,,
6512,26512,TUCKERMAN LA & GAINSBOROUGH RD,,39.041111,-77.172447,,,,
6514,26514,TUCKERMAN LA & LONG PINE TR,,39.041358,-77.176017,,,,
6516,26516,TUCKERMAN LA & WILLOWBROOK DR,,39.042413,-77.178031,,,,
6518,26518,TUCKERMAN LA & POSTOAK RD,,39.04467,-77.179932,,,,
